code,category,name_en,name_vi,description,price,spicy,vegetarian,signature,popular,notes
A1,Appetizers,Special Appetizer,Khai Vị Đặc Biệt,"Two crispy golden egg rolls served with tangy fish sauce, and two fresh spring rolls with creamy peanut sauce. A nice mix of crunchy and fresh to start off your meal.",12.00,no,no,no,no,
A2,Appetizers,Crispy Egg Rolls,Chả Giò,"Four crispy eggrolls filled with a savory mix of pork, chicken, taro, and carrots. Served with fresh lettuce and a side of light fish sauce.",9.50,no,no,yes,no,Signature — entry point
A3,Appetizers,1/2 Order of Crispy Egg Rolls (2),,"Two crispy egg rolls, served with lettuce and light fish sauce. Available regular or vegetarian.",5.50,no,no,no,no,
A4,Appetizers,Vegetarian Egg Rolls,Chả Giò Chay,"Four crispy rolls filled with taro, carrot and glass noodles. Served with lettuce and a light fish sauce.",9.50,no,yes,no,no,
A5,Appetizers,Spring Rolls,Gỏi Cuốn,"Two rice paper rolls stuffed with protein of your choice, vermicelli, basil leaves and bean sprouts in thin rice paper served with peanut sauce.",8.50,no,no,no,yes,Most popular
A7,Appetizers,Fried Battered Shrimp with Sauce,Tôm Chiên Giòn,"Crispy battered shrimp, encased in a light, golden batter, served with a sweet chili sauce.",12.99,no,no,no,no,
A8,Appetizers,Crispy Fried Tofu with Garlic and Pepper,Đậu Hủ Chiên Tỏi Tiêu,"Crispy tofu cubes seasoned with aromatic garlic and freshly cracked pepper, served with a side of sweet chili sauce.",10.99,no,yes,no,no,
A9,Appetizers,Crispy Fried Chicken Wings (6),Cánh Gà Chiên,"Six crispy fried chicken wings, battered and sautéed with onions.",12.99,no,no,no,no,
A10,Appetizers,Potstickers (8),,"Pan-fried dumplings filled with seasoned pork, served with ponzu dipping sauce. A satisfying bite with a bit of crisp and a bit of chew.",11.50,no,no,no,no,
A11,Appetizers,Miso Soup,,"A warm, savory broth with tofu, seaweed, and green onion. Simple and comforting, good as a starter or light side.",7.00,no,yes,no,no,
A12,Appetizers,Edamame with Salt,,"Steamed young soybeans sprinkled with salt. A light, shareable snack that's easy to keep reaching for.",9.00,no,yes,no,no,
A13,Appetizers,Spicy Garlic Edamame,,"Edamame pods sautéed with garlic and chili flakes. Has a bit more kick and flavor than the classic version.",10.00,yes,yes,no,no,
A14,Appetizers,Seaweed Salad,Gỏi Rong Biển,"Seaweed salad garnished with sesame seeds for an added crunch.",8.50,no,yes,no,no,
A15,Appetizers,Egg Soup,Súp Trứng,"A blend of beaten eggs and rich chicken broth, garnished with fresh spring onions and served with a side of crispy wonton strips.",7.50,no,no,no,no,
A16,Appetizers,Crab Rangoon (Cheese Wonton) (6),,"Six golden, crispy wontons stuffed with a blend of crab meat and rich cream cheese.",8.50,no,no,no,no,
A17,Appetizers,House Salad with Pork,,"A crisp house salad featuring an array of fresh vegetables, complemented by tender, marinated pork slices.",10.99,no,no,no,no,
A18,Appetizers,House Salad with Chicken,,"A crisp house salad featuring an array of fresh vegetables, complemented by tender grilled chicken strips.",10.99,no,no,no,no,
A19,Appetizers,House Salad with Beef,,"A crisp house salad featuring an array of fresh vegetables, complemented by tender, sliced beef.",11.99,no,no,no,no,
A20,Appetizers,House Salad with Shrimp,,"A crisp house salad featuring an array of fresh vegetables, complemented by succulent shrimp.",11.99,no,no,no,no,
A21,Appetizers,House Salad with Tofu,,"A crisp house salad featuring an array of fresh vegetables, complemented by slices of tofu.",9.99,no,yes,no,no,
B1,Bánh Mì,BBQ Pork,Bánh Mì Sườn Nướng,Vietnamese baguette with grilled BBQ pork.,8.99,no,no,no,no,
B2,Bánh Mì,BBQ Chicken,Bánh Mì Gà Nướng,Vietnamese baguette with grilled BBQ chicken.,8.99,no,no,no,no,
B3,Bánh Mì,BBQ Beef,Bánh Mì Bò Nướng,Vietnamese baguette with grilled BBQ beef.,9.99,no,no,no,no,
B4,Bánh Mì,BBQ Shrimp,Bánh Mì Tôm Nướng,Vietnamese baguette with grilled BBQ shrimp.,9.50,no,no,no,no,
B5,Bánh Mì,Fried Egg,Bánh Mì Trứng Ốp La,Vietnamese baguette with fried egg.,8.50,no,yes,no,no,
B6,Bánh Mì,Tofu,Bánh Mì Đậu Hủ,Vietnamese baguette with tofu.,8.99,no,yes,no,no,
B7,Bánh Mì,Lemongrass Beef,Bánh Mì Bò Xào Sả,Vietnamese baguette with lemongrass-marinated beef.,10.50,no,no,no,no,
B8,Bánh Mì,Lemongrass Chicken,Bánh Mì Gà Xào Sả,Vietnamese baguette with lemongrass-marinated chicken.,9.99,no,no,no,no,
P1,Pho,House Special — Rare Steak Chicken & Shrimp,Phở Đặc Biệt,"A mix of rare steak, chicken, and shrimp in beef broth with noodles, onion, and cilantro. A good choice if you want a bit of everything.",16.50,no,no,no,no,
P2,Pho,Well Done Steak,Phở Chín,"Slices of fully cooked beef in hot broth with noodles, onion, and cilantro. A no-raw option that's still full of flavor.",14.99,no,no,no,yes,Most popular
P3,Pho,Rare Steak,Phở Tái,"Thin slices of rare steak served in hot beef broth with noodles, onion, and cilantro. The meat cooks gently in the broth for a tender, silky texture.",14.99,no,no,no,yes,Most popular
P4,Pho,Rare Steak & Well Done Steak,Phở Tái Chín,"A combination of rare and well-done steak in savory beef broth with noodles, onion, and cilantro. A balanced choice with both tender and fully cooked beef.",15.50,no,no,no,no,
P5,Pho,Combination Special,Phở Đặc Biệt Combo,"A hearty mix of rare steak, fatty brisket, tendon, tripe, and beef meatballs in rich broth with noodles, onion, and cilantro. A full-flavored bowl for those who want it all.",16.50,no,no,no,no,
P6,Pho,Chicken,Phở Gà,"Sliced chicken in a light, savory broth with noodles, onion, and cilantro. A simple and comforting choice.",15.00,no,no,no,no,
P7,Pho,Shrimp,,"Tender shrimp served in savory broth with noodles, onion, and cilantro. Light and flavorful with a hint of sweetness from the shrimp.",15.50,no,no,no,no,
P8,Pho,Seafood,Phở Hải Sản,"A mix of shrimp, fish balls, imitation crab, and squid in savory broth with noodles, onion, and cilantro. A good option if you're craving something from the sea.",15.50,no,no,no,no,
P9,Pho,Vegetable & Tofu,Phở Chay,"Tofu and assorted vegetables in a light, savory broth of your choice (chicken, beef or vegetarian) with noodles, onion, and cilantro. A meatless option that's still filling and flavorful.",14.75,no,yes,no,no,
P10,Pho,Pho Filet Mignon,Phở Filet Mignon,"Tender slices of filet mignon served in beef broth with noodles, onion, and cilantro. A simple, rich option for beef lovers.",17.75,no,no,no,no,
P11,Pho,Chef's Special — Sate Spicy Rare Steak & Shrimp,Phở Sa Tế Tái Tôm,"Spicy beef broth with rare steak and shrimp, served with noodles, onion, and cilantro. Has a bold kick without being too heavy.",17.75,yes,no,yes,no,Chef's special
P12,Pho,Chef's Special — Garlic Wok-seared Filet Mignon,Phở Filet Mignon Xào Tỏi,"Wok-seared filet mignon with garlic in beef broth, served with noodles, onion, and cilantro. Adds a savory depth and aroma to the classic bowl.",19.50,no,no,yes,no,Chef's special
P13,Pho,Chef's Special — Beef Ribs,Phở Sườn Bò,"Slow-cooked beef ribs served in rich beef broth with noodles, onion, and cilantro. Hearty and flavorful with tender meat on the bone.",19.50,no,no,yes,no,Chef's special
P14,Pho,Meatballs Pho,Phở Bò Viên,"Beef meatballs served in savory broth with noodles, onion, and cilantro. A simple, satisfying option with a bit of bite.",14.75,no,no,no,no,
P15,Pho,Pho No Meat,,"A meatless version of phở with noodles, onion, and cilantro in broth of your choice (beef, chicken, or vegetarian). Light but still full of flavor — great if you're skipping the protein.",13.75,no,yes,no,no,
P16,Pho,Pho Tendon,Phở Gân,"Beef tendon served in rich broth with noodles, onion, and cilantro. Soft and gelatinous texture for those who enjoy traditional cuts.",16.50,no,no,no,no,
P17,Pho,Pho Tendon and Tripe,Phở Gân Sách,"A traditional mix of beef tendon and tripe in savory broth with noodles, onion, and cilantro. A classic choice with rich flavor and unique textures.",17.50,no,no,no,no,
R1,Rice Plates,BBQ Pork,Cơm Sườn Nướng,"Grilled BBQ pork served over rice with lettuce, cucumber, pickled daikon, and tomatoes. Comes with a side of fish sauce for dipping or drizzling.",14.75,no,no,no,no,
R2,Rice Plates,BBQ Chicken,Cơm Gà Nướng,"Grilled BBQ chicken served over rice with lettuce, cucumber, pickled daikon, and tomatoes. Comes with a side of fish sauce for dipping or drizzling.",14.75,no,no,no,no,
R3,Rice Plates,BBQ Beef,Cơm Bò Nướng,"Grilled BBQ beef served over rice with lettuce, cucumber, pickled daikon, and tomatoes. Comes with a side of fish sauce for dipping or drizzling.",16.50,no,no,no,no,
R4,Rice Plates,Stir-fried Beef & Vegetables,Cơm Bò Xào,"Tender beef stir-fried with mixed vegetables, served over steamed rice.",15.25,no,no,no,no,
R5,Rice Plates,Stir-fried Chicken & Vegetables,Cơm Gà Xào,"Juicy chicken stir-fried with mixed vegetables, served over steamed rice.",15.25,no,no,no,no,
R6,Rice Plates,Stir-fried Shrimp & Vegetables,Cơm Tôm Xào,"Tender shrimp stir-fried with mixed vegetables, served over steamed rice.",15.25,no,no,no,no,
R7,Rice Plates,Stir-fried Seafood & Vegetables,Cơm Hải Sản Xào,"Flavorful seafood stir-fried with mixed vegetables, served over steamed rice.",15.25,no,no,no,no,
R8,Rice Plates,Stir-fried Tofu & Vegetables,Cơm Đậu Hủ Xào,"Tender tofu stir-fried with mixed vegetables, served over steamed rice.",15.25,no,yes,no,no,
R9,Rice Plates,Spicy Lemongrass Chicken,Cơm Gà Xào Sả Ớt,"Chicken stir-fried with lemongrass and chili, served with a side of rice.",15.25,yes,no,no,no,
R10,Rice Plates,Spicy Lemongrass Beef,Cơm Bò Xào Sả Ớt,"Beef stir-fried with lemongrass and chili, served over rice with fresh vegetables.",15.75,yes,no,no,no,
R11,Rice Plates,Stir-fried Curry Chicken,Cơm Gà Cà Ri,"Chicken cooked in a mild curry sauce with vegetables, served with a side of rice.",15.25,no,no,no,no,
R12,Rice Plates,Stir-fried Curry Beef,Cơm Bò Cà Ri,"Beef cooked in a mild curry sauce with vegetables, served with a side of rice.",15.25,no,no,no,no,
R13,Rice Plates,Orange Chicken,,"Fried chicken tossed in a sweet and tangy orange sauce, served over rice. A familiar favorite with a citrusy twist.",15.25,no,no,no,no,
R15,Rice Plates,Rice with Grilled Shrimp & Egg Rolls,Cơm Tôm Nướng Chả Giò,"Grilled shrimp and crispy egg rolls served over rice with fresh vegetables. Comes with a side of fish sauce for extra flavor.",15.75,no,no,no,no,
R19,Rice Plates,Tofu with Orange Sauce,,"Fried tofu tossed in a sweet and tangy orange sauce, served over rice.",15.25,no,yes,no,no,
R20,Rice Plates,Sesame Chicken,,"Fried chicken coated in a sweet sesame glaze, served with a side of rice.",15.25,no,no,no,no,
R21,Rice Plates,General Tso Chicken,,"Fried chicken tossed in a savory sauce, served over rice.",15.25,no,no,no,no,
R22,Rice Plates,Beef Teriyaki,,"Beef glazed with teriyaki sauce, served over rice with vegetables.",15.75,no,no,no,no,
R23,Rice Plates,Chicken Teriyaki,,"Chicken glazed with teriyaki sauce, served over rice with vegetables.",15.25,no,no,no,no,
R24,Rice Plates,Chef's Special — Shaking Beef,Bò Lúc Lắc,"Filet mignon shaken in a hot skillet with garlic and pepper, served on a sizzling plate with fresh vegetables and steamed white rice. The kitchen's signature.",18.25,no,no,yes,no,Signature dish
F1,Fried Rice,Beef,Cơm Chiên Bò,Stir-fried jasmine rice with beef and egg.,15.99,no,no,no,no,
F2,Fried Rice,Chicken,Cơm Chiên Gà,Stir-fried jasmine rice with chicken and egg.,15.50,no,no,no,no,
F3,Fried Rice,Shrimp,Cơm Chiên Tôm,Stir-fried jasmine rice with shrimp and egg.,16.25,no,no,no,no,
F4,Fried Rice,Special Combo — Beef Chicken & Shrimp,Cơm Chiên Thập Cẩm,"Stir-fried jasmine rice with beef, chicken, shrimp, and egg.",16.75,no,no,no,no,
F5,Fried Rice,Seafood,Cơm Chiên Hải Sản,Stir-fried jasmine rice with mixed seafood and egg.,16.25,no,no,no,no,
F6,Fried Rice,Char Siu Pork,Cơm Chiên Xá Xíu,Stir-fried jasmine rice with Cantonese-style BBQ pork and egg.,15.75,no,no,no,no,
F7,Fried Rice,Yang Chau,Cơm Chiên Dương Châu,"Classic Yang Chow fried rice with char siu pork, shrimp, scallion, and egg.",15.75,no,no,no,no,
F8,Fried Rice,Vegetable,Cơm Chiên Chay,Stir-fried jasmine rice with mixed vegetables.,15.75,no,yes,no,no,
N1,Egg Noodles,Beef,Mì Xào Bò,"Wok-tossed egg noodles with beef and vegetables.",15.99,no,no,no,no,
N2,Egg Noodles,Chicken,Mì Xào Gà,"Wok-tossed egg noodles with chicken and vegetables.",15.00,no,no,no,no,
N3,Egg Noodles,Shrimp,Mì Xào Tôm,"Wok-tossed egg noodles with shrimp and vegetables.",15.75,no,no,no,no,
N4,Egg Noodles,Seafood,Mì Xào Hải Sản,"Wok-tossed egg noodles with mixed seafood and vegetables.",15.75,no,no,no,no,
N5,Egg Noodles,Vegetables & Tofu,Mì Xào Chay,"Wok-tossed egg noodles with tofu and vegetables.",14.75,no,yes,no,no,
N6,Egg Noodles,Meat & Seafood,Mì Xào Thập Cẩm,"Wok-tossed egg noodles with combination of meat and seafood.",16.75,no,no,no,no,
N7,Egg Noodles,Garlic Noodles w/ Shaking Filet Mignon Beef,Mì Xào Tỏi Bò Lúc Lắc,"Buttery garlic noodles topped with shaking filet mignon beef. Rich, crunchy, and full of garlic-pepper kick — the kitchen's signature.",19.50,no,no,yes,no,Signature dish
N8,Egg Noodles,Garlic Noodles w/ Grilled Shrimp,Mì Xào Tỏi Tôm,"Buttery garlic noodles topped with grilled shrimp. The signature noodle base in a lighter pairing.",17.50,no,no,yes,no,Signature dish
V1,Vermicelli Bowls,BBQ Pork,Bún Thịt Nướng,Cool vermicelli noodles with grilled BBQ pork over fresh herbs and lettuce with fish sauce on the side.,15.00,no,no,no,no,
V2,Vermicelli Bowls,BBQ Chicken,Bún Gà Nướng,Cool vermicelli noodles with grilled BBQ chicken over fresh herbs and lettuce with fish sauce on the side.,15.00,no,no,no,no,
V3,Vermicelli Bowls,BBQ Beef,Bún Bò Nướng,Cool vermicelli noodles with grilled BBQ beef over fresh herbs and lettuce with fish sauce on the side.,16.00,no,no,no,no,
V4,Vermicelli Bowls,BBQ Shrimp,Bún Tôm Nướng,Cool vermicelli noodles with grilled BBQ shrimp over fresh herbs and lettuce with fish sauce on the side.,15.75,no,no,no,no,
V5,Vermicelli Bowls,Crispy Fried Tofu,Bún Đậu Hủ,Cool vermicelli noodles with crispy fried tofu over fresh herbs and lettuce.,15.00,no,yes,no,no,
V6,Vermicelli Bowls,BBQ Pork & Egg Rolls,Bún Thịt Nướng Chả Giò,BBQ pork and crispy egg rolls over a bed of cool vermicelli with fresh herbs.,16.00,no,no,no,no,
V7,Vermicelli Bowls,BBQ Chicken & Egg Rolls,Bún Gà Nướng Chả Giò,BBQ chicken and crispy egg rolls over a bed of cool vermicelli with fresh herbs.,16.00,no,no,no,no,
V8,Vermicelli Bowls,BBQ Beef & Egg Rolls,Bún Bò Nướng Chả Giò,BBQ beef and crispy egg rolls over a bed of cool vermicelli with fresh herbs.,16.50,no,no,no,no,
V9,Vermicelli Bowls,BBQ Shrimp and Egg Rolls,Bún Tôm Nướng Chả Giò,Grilled BBQ shrimp and crispy egg rolls over a bed of cool vermicelli with fresh herbs.,16.50,no,no,no,no,
V10,Vermicelli Bowls,Lemongrass Beef,Bún Bò Xào Sả,Cool vermicelli noodles with lemongrass-marinated beef over fresh herbs.,16.75,no,no,yes,no,Signature dish
V11,Vermicelli Bowls,Lemongrass Chicken,Bún Gà Xào Sả,Cool vermicelli noodles with lemongrass-marinated chicken over fresh herbs.,16.00,no,no,no,no,
S1,Sushi,Caterpillar Roll (8),,"Eel, cucumber, cream cheese and imitation crab rolled inside, topped with sliced avocado and a drizzle of eel sauce. A mild, slightly sweet option with a smooth texture.",13.50,no,no,no,no,
S2,Sushi,Cucumber Roll (8),,"Light and crisp, made simply with fresh cucumber, avocado, cream cheese and sushi rice wrapped in seaweed.",10.99,no,yes,no,no,
S3,Sushi,California Roll (8),,"A familiar roll made with imitation crab, avocado, cucumber, and cream cheese. Smooth and slightly tangy with a mix of creamy and crunchy textures.",11.99,no,no,no,no,
S4,Sushi,Poke Bowl,,"A rice bowl with tuna, avocado, cream cheese, seaweed salad, cucumber and sesame seeds. Served chilled and great for a filling, refreshing meal.",13.99,no,no,no,no,
S5,Sushi,Shrimp Tempura Roll (8),,"Crispy shrimp tempura rolled with avocado, cream cheese, and cucumber, lightly finished with eel sauce. A mix of crunchy and soft textures.",11.99,no,no,no,no,
S6,Sushi,Tuna Roll (8),,"Fresh tuna, cream cheese, avocado, and cucumber wrapped in rice and seaweed. Simple and clean in flavor.",11.50,no,no,no,no,Out of stock at scrape time
S7,Sushi,Spicy Tuna Roll (8),,"Chopped tuna mixed with a mild spicy sauce, rolled with rice with sesame and nori.",11.50,yes,no,no,no,Out of stock at scrape time
S8,Sushi,Eel Roll (8),,"Grilled eel, imitation crab, cream cheese, and cucumber wrapped in rice with sesame and nori, topped with a light eel sauce. Richer flavor, slightly sweet.",12.99,no,no,no,no,
D1,Beverages,Special Green Tea with Strawberry and Basil,,House-made green tea with fresh strawberry and basil.,4.99,no,yes,no,no,
D2,Beverages,Vietnamese Coffee w/ Condensed Milk (iced/hot),Cà Phê Sữa,"Strong dark-roast Vietnamese coffee dripped over sweetened condensed milk. Served iced or hot. A national classic.",5.50,no,yes,yes,no,Signature drink
D3,Beverages,Jasmine Green Tea (iced/hot),Trà Lài,Hot or iced jasmine green tea.,3.99,no,yes,no,no,
D4,Beverages,Fresh Lemonade,Nước Chanh,House-made lemonade.,4.50,no,yes,no,no,
D5,Beverages,Fresh Lemonade with Tea,Nước Chanh Trà,House lemonade blended with iced tea.,4.50,no,yes,no,no,
D6,Beverages,Fresh Lemonade with Club Soda,Nước Chanh Soda,Sparkling lemonade with club soda.,4.50,no,yes,no,no,
D7,Beverages,Fresh Lemonade with Strawberry,Nước Chanh Dâu,House lemonade with fresh strawberry.,4.99,no,yes,no,no,
D8,Beverages,Strawberry Peach Green Tea,,Green tea with strawberry and peach.,4.99,no,yes,no,no,
D9,Beverages,Thai Iced Tea,Trà Thái Đá,Sweet condensed-milk Thai iced tea.,4.99,no,yes,no,no,
D10,Beverages,Milk Tea,Trà Sữa,Classic milk tea.,4.99,no,yes,no,no,
D11,Beverages,Taro Milk Tea,Trà Sữa Khoai Môn,Milk tea with taro flavor.,4.99,no,yes,no,no,
D12,Beverages,Mango Green Tea,,Green tea with fresh mango.,4.99,no,yes,no,no,
D13,Beverages,Canned Sodas,,Assorted canned sodas.,2.50,no,yes,no,no,
D14,Beverages,Fruit Smoothie (Mango Taro or Strawberry),Sinh Tố Trái Cây,Choice of mango, taro, or strawberry smoothie.,6.50,no,yes,no,no,
D15,Beverages,Avocado Smoothie,Sinh Tố Bơ,Creamy avocado smoothie — a Vietnamese classic.,6.50,no,yes,no,no,
D16,Beverages,Fresh Coconut,Dừa Tươi,Fresh young coconut served chilled.,6.99,no,yes,no,no,
AL1,Alcohol,Beer,,"Sapporo, Corona, Modelo, Tsingtao.",5.50,no,no,no,no,
AL2,Alcohol,Sake,,Premium sake.,9.99,no,no,no,no,
AL3,Alcohol,Red Wine (glass),,"Cabernet Sauvignon, Pinot Noir, Merlot, Malbec.",9.99,no,no,no,no,Per glass
AL4,Alcohol,Red Wine (bottle),,"Cabernet Sauvignon, Pinot Noir, Merlot, Malbec.",28.99,no,no,no,no,Per bottle
AL5,Alcohol,White Wine (glass),,"Chardonnay, Sauvignon Blanc, Pinot Grigio, Prosecco, Rosé, Champagne, Sparkling.",9.99,no,no,no,no,Per glass
AL6,Alcohol,White Wine (bottle),,"Chardonnay, Sauvignon Blanc, Pinot Grigio, Prosecco, Rosé, Champagne, Sparkling.",27.99,no,no,no,no,Per bottle
